name,item_id,slug,price_standard,price_gds_plus,owned,url
Farming Icons Game Icon Pack,_Xt13nl14A8,Farming-Icons-Game-Icon-Pack,5.95,2.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Farming-Icons-Game-Icon-Pack&item=_Xt13nl14A8
Top Down animated cow pack,_OYykDT4DfX,Top-Down-animated-cow-pack,5.00,2.50,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-Down-animated-cow-pack&item=_OYykDT4DfX
Top Down Brick Wall Tileset,_Kq86vBQRT5,Top-Down-Brick-Wall-Tileset,4.95,2.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-Down-Brick-Wall-Tileset&item=_Kq86vBQRT5
Top Down Campsite meg Props Pack,_vFR31dOPeZ,Top-Down-Campsite-meg-Props-Pack,12.95,6.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-Down-Campsite-meg-Props-Pack&item=_vFR31dOPeZ
Top Down Mountain Edge Tileset,_aYKvNUIujj,Top-Down-Mountain-Edge-Tileset,11.95,5.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-Down-Mountain-Edge-Tileset&item=_aYKvNUIujj
top down containers barrels crates palettes and pots,_CrCK0hmhaQ,top-down-containers-barrels-crates-palettes-and-pots,5.45,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-containers-barrels-crates-palettes-and-pots&item=_CrCK0hmhaQ
top down plants and foliage mega pack,_WxSR6vvLTt,top-down-plants-and-foliage-mega-pack,8.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-plants-and-foliage-mega-pack&item=_WxSR6vvLTt
top down wooden fence tileset,_LY00q033Sp,top-down-wooden-fence-tileset,3.75,1.85,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-wooden-fence-tileset&item=_LY00q033Sp
top down white picket fence tileset,_BTCsoscTw8,top-down-white-picket-fence-tileset,3.75,1.85,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-white-picket-fence-tileset&item=_BTCsoscTw8
top down barbwire fence tileset,_fNma1e5a5V,top-down-barbwire-fence-tileset,3.75,1.85,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-barbwire-fence-tileset&item=_fNma1e5a5V
top down farm environment props,_3Vr8rRrvhv,top-down-farm-environment-props,12.95,6.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-farm-environment-props&item=_3Vr8rRrvhv
top down crops mega pack,_ZvLLKdwMwx,top-down-crops-mega-pack,18.50,9.25,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-crops-mega-pack&item=_ZvLLKdwMwx
top down farming tile set,_uMxlLbHeoO,top-down-farming-tile-set,6.95,3.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-farming-tile-set&item=_uMxlLbHeoO
top down sheep character pack,_Od7FapoFzC,top-down-sheep-character-pack,5.95,2.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-sheep-character-pack&item=_Od7FapoFzC
top down horse character pack,_ShwDIPXeRz,top-down-horse-character-pack,6.95,3.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-horse-character-pack&item=_ShwDIPXeRz
Top down animated chicken 2d game sprite,_X9FdTLCvsu,Top-down-animated-chicken-2d-game-sprite,4.95,2.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-animated-chicken-2d-game-sprite&item=_X9FdTLCvsu
top down animated pig,_A81r0KzAnl,top-down-animated-pig,4.95,2.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-animated-pig&item=_A81r0KzAnl
Background Creator Mega Pack,_3zUd90BBH1,Background-Creator-Mega-Pack,24.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Background-Creator-Mega-Pack&item=_3zUd90BBH1
Animated Griffin boss pack,_Kd7crpEUuu,Animated-Griffin-boss-pack,11.95,5.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-Griffin-boss-pack&item=_Kd7crpEUuu
Animated Cyclops Boss Pack,_fZhk1GGRqM,Animated-Cyclops-Boss-Pack,11.95,5.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-Cyclops-Boss-Pack&item=_fZhk1GGRqM
Medusa and the Gorgons animated game character pack,_RLGka1OB6A,Medusa-and-the-Gorgons-animated-game-character-pack,11.95,5.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Medusa-and-the-Gorgons-animated-game-character-pack&item=_RLGka1OB6A
Demon king boss game character pack,_UtgI1k3XOh,Demon-king-boss-game-character-pack,12.95,6.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Demon-king-boss-game-character-pack&item=_UtgI1k3XOh
Burglar character,_yKfRsZ1r3b,Burglar-character,9.45,4.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Burglar-character&item=_yKfRsZ1r3b
Glass Tube and Pipe Tileset,_ULh3VaQ6fO,Glass-Tube-and-Pipe-Tileset,4.95,2.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Glass-Tube-and-Pipe-Tileset&item=_ULh3VaQ6fO
Top down warship and attack vessel game asset construction kit,_kgIni54l0c,Top-down-warship-and-attack-vessel-game-asset-construction-kit,16.95,8.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-warship-and-attack-vessel-game-asset-construction-kit&item=_kgIni54l0c
Magic elements Game interface icons,_dSpwUKRH4P,Magic-elements-Game-interface-icons,6.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Magic-elements-Game-interface-icons&item=_dSpwUKRH4P
Deck builder and card making design kit,_lcuq0PsH0C,Deck-builder-and-card-making-design-kit,25.00,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Deck-builder-and-card-making-design-kit&item=_lcuq0PsH0C
Top down pirates and sailors character sprites,_I146EUVkOW,Top-down-pirates-and-sailors-character-sprites,17.45,7.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-pirates-and-sailors-character-sprites&item=_I146EUVkOW
Animated top down sea life,_6pkC4BnWHo,Animated-top-down-sea-life,6.45,3.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Animated-top-down-sea-life&item=_6pkC4BnWHo
Top down sea level creator set,_rGU1iuAVWz,Top-down-sea-level-creator-set,10.00,4.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-sea-level-creator-set&item=_rGU1iuAVWz
Boardwalk tileset top down game asset,_di1jZWvBxr,Boardwalk-tileset-top-down-game-asset,8.95,4.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Boardwalk-tileset-top-down-game-asset&item=_di1jZWvBxr
Top down sea rocks 2d game environment props,_WAMIxGfaiv,Top-down-sea-rocks-2d-game-environment-props,3.95,1.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-sea-rocks-2d-game-environment-props&item=_WAMIxGfaiv
Top down flotsome and debris 2d props,_tgdhP1lr3n,Top-down-flotsome-and-debris-2d-props,4.45,2.25,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-flotsome-and-debris-2d-props&item=_tgdhP1lr3n
Top down palm trees,_HaMkuEJ131,Top-down-palm-trees,3.95,1.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Top-down-palm-trees&item=_HaMkuEJ131
top down wooden boats creator kit,_4L85eMecwE,top-down-wooden-boats-creator-kit,16.95,8.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=top-down-wooden-boats-creator-kit&item=_4L85eMecwE
East Asian themed mega environment game asset pack,_QYoux6NmGR,East-Asian-themed-mega-environment-game-asset-pack,29.95,12.45,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=East-Asian-themed-mega-environment-game-asset-pack&item=_QYoux6NmGR
Game character monster number seven,_vfgfcq6jUA,Game-character-monster-number-seven,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Game-character-monster-number-seven&item=_vfgfcq6jUA
Game character monster number six,_rMBN6EwD4a,Game-character-monster-number-six,4.95,3.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Game-character-monster-number-six&item=_rMBN6EwD4a
Stone and architechural game prop pack,_BfQzQTeoiT,Stone-and-architechural-game-prop-pack,16.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Stone-and-architechural-game-prop-pack&item=_BfQzQTeoiT
Game GUI menu icons,_9Ug10Ud3pF,Game-GUI-menu-icons,5.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Game-GUI-menu-icons&item=_9Ug10Ud3pF
Home interior top down mega pack,_o4slcXke40,Home-interior-top-down-mega-pack,29.95,14.95,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Home-interior-top-down-mega-pack&item=_o4slcXke40
Clean and colorful game asset GUI pack,_rEPSEtujN4,Clean-and-colorful-game-asset-GUI-pack,16.95,0.00,,https://www.gamedeveloperstudio.com/graphics/viewgraphic.php?page-name=Clean-and-colorful-game-asset-GUI-pack&item=_rEPSEtujN4
